Date,BTC_Open,BTC_High,BTC_Low,BTC_Close,BTC_Volume,BTC_Supply,BTC_Demand,BTC_Daily_Return,BTC_Price_Change,BTC_Inflation,BTC_MarketCap,BTC_Supply_Proxy,BTC_Demand_Proxy,BTC_Intraday_Return_Pct,BTC_Market_Value_Proxy,LINK_Open,LINK_High,LINK_Low,LINK_Close,LINK_Volume,LINK_Supply,LINK_Demand,LINK_Daily_Return,LINK_Price_Change,LINK_Inflation,LINK_MarketCap,LINK_Supply_Proxy,LINK_Demand_Proxy,LINK_Intraday_Return_Pct,LINK_Market_Value_Proxy,Price_Ratio,BTC_Open_Norm,BTC_High_Norm,BTC_Low_Norm,BTC_Close_Norm,BTC_Volume_Norm,LINK_Open_Norm,LINK_High_Norm,LINK_Low_Norm,LINK_Close_Norm,LINK_Volume_Norm
2018-01-11,14968.200195,15018.799805,13105.900391,13405.799805,16534099968,18461093107.163784,14808248902.971758,-10.438131,-1562.400391,-10.438131,247485718370334.0,18461093107.163784,14808248902.971758,-10.438131,247485718370334.0,1.1837,1.29348,0.972191,1.01033,10009300,11726869.946144,8543293.048367,-14.646448,-0.17337,-14.646448,11848008.064449,11726869.946144,8543293.048367,-14.646448,11848008.064449,13268.734287,0.096546,0.095535,0.082618,0.083685,0.039105,0.019536,0.021212,0.017395,0.016222,5.6e-05
2018-01-12,13453.900391,14229.900391,13158.099609,13980.599609,12065699840,11611141748.289934,12538053172.11091,3.914844,526.699219,3.914844,162330723790540.0,11611141748.289934,12538053172.11091,3.914844,162330723790540.0,1.02975,1.14142,0.989549,1.05156,9231200,9039738.771733,9426716.367786,2.117995,0.02181,2.117995,9505828.103161,9039738.771733,9426716.367786,2.117995,9505828.103161,13295.103485,0.084085,0.089117,0.083053,0.088415,0.026267,0.016581,0.018327,0.017768,0.017014,5.2e-05
2018-01-13,13952.400391,14659.5,13952.400391,14360.200195,12763599872,12401140194.27141,13136653496.407768,2.922793,407.799805,2.922793,178082855839874.0,12401140194.27141,13136653496.407768,2.922793,178082855839874.0,1.05346,1.284,1.04909,1.10123,12319900,11785477.67487,12878556.151665,4.534583,0.04777,4.534583,12978521.877968,11785477.67487,12878556.151665,4.534583,12978521.877968,13040.145896,0.088187,0.092612,0.089672,0.091539,0.028272,0.017036,0.021033,0.019047,0.017969,7e-05
2018-01-14,14370.799805,14511.799805,13268.0,13772.0,11084099584,11566030797.043568,10622249390.81374,-4.166781,-598.799805,-4.166781,159287376136884.0,11566030797.043568,10622249390.81374,-4.166781,159287376136884.0,1.10644,1.15459,0.941085,1.01084,5844480,6397219.910804,5339498.555101,-8.640314,-0.0956,-8.640314,6466566.147766,6397219.910804,5339498.555101,-8.640314,6466566.147766,13624.311667,0.09163,0.09141,0.083969,0.086699,0.023447,0.018053,0.018577,0.016727,0.016231,3.2e-05
2018-01-15,13767.299805,14445.5,13641.700195,13819.799805,12750799872,12702360892.945257,12799423567.479637,0.381338,52.5,0.381338,175544084587395.0,12702360892.945257,12799423567.479637,0.381338,175544084587395.0,1.00695,1.03702,0.848422,0.877688,8351260,9581196.871849,7279209.948447,-12.836986,-0.129262,-12.836986,8409301.430624,9581196.871849,7279209.948447,-12.836986,8409301.430624,15745.686339,0.086664,0.090871,0.087083,0.087092,0.028235,0.016143,0.016346,0.014738,0.013672,4.7e-05
2018-01-16,13836.099609,13843.099609,10194.900391,11490.5,18853799936,22702498057.501762,15657562050.06058,-16.952752,-2345.599609,-16.952752,260863053929724.0,22702498057.501762,15657562050.06058,-16.952752,260863053929724.0,0.881772,0.881772,0.524756,0.756453,8988860,10478014.007051,7711347.211907,-14.212178,-0.125319,-14.212178,7926124.895569,10478014.007051,7711347.211907,-14.212178,7926124.895569,15189.972595,0.08723,0.08597,0.058361,0.067923,0.04577,0.013739,0.0134,0.007787,0.011342,5e-05
2018-01-17,11431.099609,11678.0,9402.290039,11188.599609,18830600192,19238731746.080616,18431126764.018063,-2.121406,-242.5,-2.121406,215254466499068.0,19238731746.080616,18431126764.018063,-2.121406,215254466499068.0,0.751847,0.768202,0.479321,0.698634,7658770,8242117.094046,7116710.093245,-7.077637,-0.053213,-7.077637,5758223.468244,8242117.094046,7116710.093245,-7.077637,5758223.468244,16014.965138,0.067438,0.068357,0.051756,0.065439,0.045704,0.011245,0.011245,0.006811,0.010231,4.3e-05
2018-01-18,11198.799805,12107.299805,10942.5,11474.900391,15020399616,14658989843.904617,15390719758.097471,2.465448,276.100586,2.465448,168210448285989.0,14658989843.904617,15390719758.097471,2.465448,168210448285989.0,0.702454,0.81982,0.691333,0.74423,5953820,5619613.098626,6307902.691926,5.947151,0.041776,5.947151,4182284.501078,5619613.098626,6307902.691926,5.947151,4182284.501078,15418.487318,0.065527,0.071849,0.064591,0.067795,0.034756,0.010296,0.012225,0.011364,0.011108,3.3e-05
2018-01-19,11429.799805,11992.799805,11172.099609,11607.400391,10740400128,10576065195.823744,10907288558.990166,1.553838,177.600586,1.553838,122760623285279.98,10576065195.823744,10907288558.990166,1.553838,122760623285279.98,0.73917,0.908227,0.703131,0.812905,7383730,6713984.687952,8120284.934629,9.975377,0.073735,9.975377,5457831.813809,6713984.687952,8120284.934629,9.975377,5457831.813809,14278.913522,0.067428,0.070918,0.066504,0.068885,0.022459,0.011001,0.013902,0.011618,0.012427,4.1e-05
2018-01-20,11656.200195,13103.0,11656.200195,12899.200195,11801700352,10664458250.519411,13060216274.147194,10.663853,1243.0,10.663853,137562981948001.97,10664458250.519411,13060216274.147194,10.663853,137562981948001.97,0.820674,1.2193,0.805499,1.2193,13848900,9321276.054728,20575726.98029,48.573006,0.398626,48.573006,11365432.18866,9321276.054728,20575726.98029,48.573006,11365432.18866,10579.184664,0.069291,0.07995,0.070538,0.079516,0.025508,0.012566,0.019805,0.013816,0.020238,7.9e-05
