Date,BTC_Close,LINK_Close,BTC_Cumulative_Return,BTC_Drawdown,LINK_Cumulative_Return,LINK_Drawdown
2018-01-01,13657.200195,0.733563,0.0,0.0,0.0,0.0
2018-01-02,14982.099609,0.673712,0.09701105607905314,0.0,-0.08158944766843479,-0.08158944766843479
2018-01-03,15201.0,0.681167,0.1130392600941148,0.0,-0.07142672135862904,-0.07142672135862904
2018-01-04,15599.200195,0.984368,0.14219605572677918,0.0,0.3418997413991709,0.0
2018-01-05,17429.5,0.907486,0.2762132612203392,0.0,0.23709347390748992,-0.07810290460478198
2018-01-06,17527.0,1.06357,0.2833523525866424,0.0,0.4498686547713011,0.0
2018-01-07,16477.599609,1.27046,0.2065137344206589,-0.059873360586523594,0.7319030539980889,0.0
2018-01-08,15170.099609,1.3773,0.11077668866228407,-0.13447255040794204,0.8775483496305021,0.0
2018-01-09,14595.400391,1.22828,0.06869637865771949,-0.16726191641467458,0.6744028801888864,-0.1081971974152327
2018-01-10,14973.299805,1.18871,0.09636672167124227,-0.14570092970844983,0.6204606829951893,-0.13692732157119003
2018-01-11,13405.799805,1.01033,-0.01840790106394119,-0.2351343752496149,0.3772913846527155,-0.266441588615407
2018-01-12,13980.599609,1.05156,0.023679773993384057,-0.20233927032578303,0.4334965095022514,-0.23650620779786535
2018-01-13,14360.200195,1.10123,0.051474679287294434,-0.18068122354082272,0.5012071219513525,-0.20044289552022077
2018-01-14,13772.0,1.01084,0.008405808171577434,-0.21424088549095677,0.37798662146264195,-0.26607129891817327
2018-01-15,13819.799805,0.877688,0.011905779199131272,-0.21151367575740287,0.19647255927575413,-0.3627474043418282
2018-01-16,11490.5,0.756453,-0.1586489297999193,-0.3444114794317339,0.03120386388081209,-0.45077107384012194
2018-01-17,11188.599609,0.698634,-0.1807545141575776,-0.3616363548239858,-0.04761554222336728,-0.49275103463297754
2018-01-18,11474.900391,0.74423,-0.159791155788941,-0.34530151246648033,0.014541355002910539,-0.4596456835838234
2018-01-19,11607.400391,0.812905,-0.15008931367575962,-0.3377417475323786,0.10815976269250216,-0.4097836346474987
2018-01-20,12899.200195,1.2193,-0.05550185903238858,-0.26403832971986085,0.6621612594964579,-0.11471720031946553
2018-01-21,11600.099609,0.887828,-0.15062388751928224,-0.33815829240600215,0.21029550290840726,-0.35538517389094604
2018-01-22,10931.400391,0.802858,-0.1995870138154624,-0.37631081240372,0.09446359753695321,-0.41707834168300295
2018-01-23,10868.400391,0.801917,-0.20419996515984296,-0.37990526667427404,0.09318081746216755,-0.41776156247731067
2018-01-24,11359.400391,0.792863,-0.1682482332536387,-0.3518913452958293,0.08083831927182805,-0.424335293690554
2018-01-25,11259.400391,0.760437,-0.175570378244719,-0.35759682826496264,0.0366348902548248,-0.4478784578523197
2018-01-26,11171.400391,0.709853,-0.18201386583686963,-0.36261765327780004,-0.032321695614419,-0.4846053873520657
2018-01-27,11440.700195,0.780675,-0.1622953437272946,-0.3472527988246705,0.06422352272401977,-0.43318449139620996
2018-01-28,11786.299805,0.760601,-0.1369900391944865,-0.3275346719347293,0.036858456601546186,-0.4477593843026211
2018-01-29,11296.400391,0.697712,-0.17286118459801936,-0.3554857995663834,-0.048872421318959636,-0.4934204603209177
2018-01-30,10106.299805,0.596778,-0.26000207504463535,-0.4233867858161693,-0.18646660205053955,-0.5667044216946199
2018-01-31,10221.099609,0.620146,-0.25159626694627935,-0.4168369025503509,-0.1546111240616007,-0.5497378929790169
2018-02-01,9170.540039,0.520347,-0.32851976187934906,-0.47677639989730136,-0.2906580620887367,-0.6221977782618167
2018-02-02,8830.75,0.494574,-0.3533996812001773,-0.49616306270325783,-0.32579205875977924,-0.6409104770202569
2018-02-03,9174.910156,0.518558,-0.3281997755763292,-0.47652706361613506,-0.29309684376120393,-0.6234966964350541
2018-02-04,8277.009766,0.434371,-0.3939453440076046,-0.5277566174473669,-0.40786135614800634,-0.6846213606331228
2018-02-05,6955.27002,0.341506,-0.490725044614461,-0.6031682535516631,-0.5344557999790066,-0.7520467581500037
2018-02-06,7754.0,0.425248,-0.4322408773916343,-0.557596850573401,-0.4202979157891006,-0.6912451898642271
2018-02-07,7621.299805,0.376771,-0.44195737807298063,-0.5651680375991328,-0.48638221938674653,-0.7264423146736367
2018-02-08,8265.589844,0.41108,-0.3947815272543129,-0.5284081791521652,-0.43961186701074073,-0.7015319828650257
2018-02-09,8736.980469,0.435194,-0.3602656222174533,-0.501513067324699,-0.4067394347861055,-0.6840238147099398
2018-02-10,8621.900391,0.419874,-0.3686919523844616,-0.5080789415758544,-0.4276238032725205,-0.6951470267915487
2018-02-11,8129.970215,0.416157,-0.404711793126058,-0.536145933987562,-0.43269085272839547,-0.6978457852319756
2018-02-12,8926.570312,0.490282,-0.3463835790246318,-0.49069605112112746,-0.3316429536386104,-0.6440267189428592
2018-02-13,8598.30957,0.570759,-0.37041930650266786,-0.5094249118502882,-0.2219359482416643,-0.5855957307776083
2018-02-14,9494.629883,0.568253,-0.3047894336003032,-0.45828550904319054,-0.225352151076322,-0.5874152327016626
2018-02-15,10166.400391,0.565251,-0.25560142299722655,-0.4199577571175901,-0.22944450578886888,-0.5895948595077325
2018-02-16,10233.900391,0.639628,-0.2506589751282474,-0.41610655611342506,-0.12805307792241427,-0.5355928265446889
2018-02-17,11112.700195,0.672487,-0.186311979298038,-0.3659667829634279,-0.08325937922168924,-0.5117352791693894
2018-02-18,10551.799805,0.761761,-0.22738191910937267,-0.3979688591886803,0.0384397795417708,-0.44691715675597177
2018-02-19,11225.299805,0.774362,-0.178067272594447,-0.3595424313915673,0.055617581584676445,-0.43776809700137953
2018-02-20,11403.700195,0.699926,-0.16500453737399434,-0.3493638275232499,-0.04585427563822042,-0.4918129673999855
2018-02-21,10690.400391,0.653669,-0.2172333832439659,-0.3900610263593314,-0.10891225429854012,-0.5253982429390838
2018-02-22,10005.0,0.601923,-0.26741939364241707,-0.42916642893820967,-0.17945288952687088,-0.5629688521019386
2018-02-23,10301.099609,0.674791,-0.24573855095341512,-0.4122725161750441,-0.08011854469213953,-0.5100624410077688
2018-02-24,9813.070312,0.650958,-0.2814727636787051,-0.44011694459976036,-0.1126079150665995,-0.5273665868002613
2018-02-25,9664.730469,0.675715,-0.2923344220627059,-0.44858044907856454,-0.07885893917768483,-0.509391563203369
2018-02-26,10366.700195,0.691446,-0.2409351809314969,-0.40852968591316263,-0.057414291615035085,-0.4979699411892834
2018-02-27,10725.599609,0.723957,-0.21465604546627937,-0.3880527409710731,-0.013094989796377465,-0.4743650620779787
2018-02-28,10397.900391,0.661447,-0.23865065734287572,-0.4067495640440464,-0.09830921134244774,-0.5197509620271545
2018-03-01,10951.0,0.663065,-0.19815190202679744,-0.3751925600502083,-0.09610353848272057,-0.5185761998112248
2018-03-02,11086.400391,0.652742,-0.18823768907928795,-0.3674673138015634,-0.1101759494412885,-0.5260712989181732
2018-03-03,11489.700195,0.628706,-0.15870749268166529,-0.34445711216979524,-0.14294205133028792,-0.5435228345313294
2018-03-04,11512.599609,0.592818,-0.15703076438647745,-0.34315059000399384,-0.19186491139820305,-0.5695796122849053
2018-03-05,11573.299805,0.586738,-0.1525862080254875,-0.33968735065898326,-0.20015322474007002,-0.573994046322515
2018-03-06,10779.900391,0.53387,-0.210680063476949,-0.38495461910195705,-0.2722233809502388,-0.6123792928192842
2018-03-07,9965.570312,0.521148,-0.27030649256730765,-0.431416083071832,-0.2895661313343231,-0.6216162056196908
2018-03-08,9395.009766,0.486422,-0.312083763007327,-0.4639693178524562,-0.336904942043151,-0.6468293037101576
2018-03-09,9337.549805,0.480877,-0.31629106466356516,-0.4672476861413818,-0.344463938339311,-0.6508552965947869
2018-03-10,8866.0,0.46771,-0.3508186250908215,-0.49415187995663834,-0.3624133169202918,-0.6604153053074857
2018-03-11,9578.629883,0.513524,-0.2986388318077957,-0.4534929033491185,-0.2999592400380062,-0.6271516735642199
2018-03-12,9205.120117,0.510198,-0.32598775843016037,-0.4748034394362982,-0.30449327460627096,-0.6295665432367675
2018-03-13,9194.849609,0.563841,-0.3267397799172409,-0.47538942152108177,-0.23136663108690048,-0.5906186016118493
