Date,BTC_Close,LINK_Close,BTC_MA_30,BTC_MA_90,LINK_MA_30,LINK_MA_90
2018-01-01,13657.200195,0.733563,,,,
2018-01-02,14982.099609,0.673712,,,,
2018-01-03,15201.0,0.681167,,,,
2018-01-04,15599.200195,0.984368,,,,
2018-01-05,17429.5,0.907486,,,,
2018-01-06,17527.0,1.06357,,,,
2018-01-07,16477.599609,1.27046,,,,
2018-01-08,15170.099609,1.3773,,,,
2018-01-09,14595.400391,1.22828,,,,
2018-01-10,14973.299805,1.18871,,,,
2018-01-11,13405.799805,1.01033,,,,
2018-01-12,13980.599609,1.05156,,,,
2018-01-13,14360.200195,1.10123,,,,
2018-01-14,13772.0,1.01084,,,,
2018-01-15,13819.799805,0.877688,,,,
2018-01-16,11490.5,0.756453,,,,
2018-01-17,11188.599609,0.698634,,,,
2018-01-18,11474.900391,0.74423,,,,
2018-01-19,11607.400391,0.812905,,,,
2018-01-20,12899.200195,1.2193,,,,
2018-01-21,11600.099609,0.887828,,,,
2018-01-22,10931.400391,0.802858,,,,
2018-01-23,10868.400391,0.801917,,,,
2018-01-24,11359.400391,0.792863,,,,
2018-01-25,11259.400391,0.760437,,,,
2018-01-26,11171.400391,0.709853,,,,
2018-01-27,11440.700195,0.780675,,,,
2018-01-28,11786.299805,0.760601,,,,
2018-01-29,11296.400391,0.697712,,,,
2018-01-30,10106.299805,0.596778,13181.040039099998,,0.8994436,
2018-01-31,10221.099609,0.620146,13066.503352900001,,0.8956630333333333,
2018-02-01,9170.540039,0.520347,12872.784700566666,,0.8905508666666667,
2018-02-02,8830.75,0.494574,12660.4430339,,0.8843311,
2018-02-03,9174.910156,0.518558,12446.3000326,,0.8688041,
2018-02-04,8277.009766,0.434371,12141.2170248,,0.8530336,
2018-02-05,6955.27002,0.341506,11788.826025466667,,0.8289648,
2018-02-06,7754.0,0.425248,11498.039371833333,,0.8007910666666667,
2018-02-07,7621.299805,0.376771,11246.412711699999,,0.7674401,
2018-02-08,8265.589844,0.41108,11035.419026799998,,0.7402000999999999,
2018-02-09,8736.980469,0.435194,10827.5417156,,0.7150829,
2018-02-10,8621.900391,0.419874,10668.078401800001,,0.6954010333333333,
2018-02-11,8129.970215,0.416157,10473.057422,,0.6742209333333334,
2018-02-12,8926.570312,0.490282,10291.9364259,,0.6538559999999999,
2018-02-13,8598.30957,0.570759,10119.480078233331,,0.6391866333333334,
2018-02-14,9494.629883,0.568253,9975.3077475,,0.6288721333333332,
2018-02-15,10166.400391,0.565251,9931.171093866666,,0.6224987333333334,
2018-02-16,10233.900391,0.639628,9899.3477866,,0.6205318666666667,
2018-02-17,11112.700195,0.672487,9887.274446733332,,0.6181404333333334,
2018-02-18,10551.799805,0.761761,9852.087760533333,,0.6164356333333333,
2018-02-19,11225.299805,0.774362,9796.291080866667,,0.6016043666666666,
2018-02-20,11403.700195,0.699926,9789.744433733333,,0.5953409666666667,
2018-02-21,10690.400391,0.653669,9781.7111004,,0.590368,
2018-02-22,10005.0,0.601923,9752.931087366665,,0.5837015333333333,
2018-02-23,10301.099609,0.674791,9717.654394633335,,0.5797658,
2018-02-24,9813.070312,0.650958,9669.443392,,0.5761165,
2018-02-25,9664.730469,0.675715,9619.221061266668,,0.5749785666666666,
2018-02-26,10366.700195,0.691446,9583.421061266668,,0.5720042666666667,
2018-02-27,10725.599609,0.723957,9548.064388066667,,0.5707827999999999,
2018-02-28,10397.900391,0.661447,9518.114388066666,,0.5695739666666666,
2018-03-01,10951.0,0.663065,9546.271061233334,,0.5717835333333333,
2018-03-02,11086.400391,0.652742,9575.114420633332,,0.5728700666666667,
2018-03-03,11489.700195,0.628706,9652.419759166667,,0.5764820333333333,
2018-03-04,11512.599609,0.592818,9741.814746133334,,0.5797568333333333,
2018-03-05,11573.299805,0.586738,9821.761067766667,,0.5820295000000001,
2018-03-06,10779.900391,0.53387,9905.190755266665,,0.5853461333333334,
2018-03-07,9965.570312,0.521148,10005.534098333332,,0.5913342,
2018-03-08,9395.009766,0.486422,10060.234423866666,,0.5933733333333333,
