Year,Average_Price_Ratio,Minimum_Price_Ratio,Maximum_Price_Ratio
2018,20127.20270837808,10427.779847,41575.873617
2019,6265.713372868493,2723.288884,12838.651596
2020,1916.6438984016393,621.281371,4099.663081
2021,1834.7721528493153,1008.557642,2668.588605
2022,2871.7015435780822,1499.869529,4563.477444
2023,3684.524431260274,2261.411346,5396.868492
2024,4459.560832874317,2229.753617,6726.575618
2025,6007.590113658941,3991.29188,8666.595406
