Date,BTC_Daily_Return,LINK_Daily_Return,Rolling_30_Day_Correlation
2018-04-22,-1.373656,1.541286,0.7100683482886982
2018-04-23,1.552015,-1.441985,0.7092196822452638
2018-04-24,8.541875,9.061354,0.7253507699291967
2018-04-25,-8.816487,-18.512742,0.7569762699751211
2018-04-26,4.670965,11.952459,0.753590570887743
2018-04-27,-3.267594,-7.827069,0.7586208105193083
2018-04-28,4.577678,7.152953,0.7096473734237867
2018-04-29,0.777517,6.54389,0.719791906687553
2018-04-30,-1.96858,4.981257,0.7094915862178068
2018-05-01,-1.431772,0.67015,0.70556758229166
2018-05-02,1.442351,2.896099,0.7054850012408141
2018-05-03,5.521901,0.280523,0.6727975472341065
2018-05-04,0.05425,2.54667,0.6815268423116075
2018-05-05,1.62748,-1.871286,0.6719579169082291
2018-05-06,-1.935031,-5.514703,0.6705315785433524
2018-05-07,-2.826762,6.281543,0.6277755933316891
2018-05-08,-1.55689,-3.91747,0.6372635694552797
2018-05-09,1.099872,-2.516801,0.6155691252768248
2018-05-10,-3.024027,-2.659787,0.6591921073659983
2018-05-11,-6.754362,-11.485887,0.6987363519433846
2018-05-12,0.75164,-0.176764,0.7135682904492431
2018-05-13,2.447894,8.546943,0.7156476709994033
2018-05-14,0.042355,2.65131,0.7131832162580014
2018-05-15,-2.237867,-2.535794,0.7059346031069864
2018-05-16,-1.594233,-4.598177,0.7033450614883162
2018-05-17,-3.294245,-7.591113,0.7228359605867143
2018-05-18,1.966671,3.078307,0.719067317236549
2018-05-19,-0.103574,-0.832152,0.7224626785127647
2018-05-20,3.228569,-0.195783,0.759121847028818
2018-05-21,-1.212577,-6.380217,0.7562001064264174
2018-05-22,-4.490453,-11.199549,0.7764482947489747
2018-05-23,-5.963114,-7.458961,0.788497172212146
2018-05-24,0.34677,3.748186,0.7741264573141237
2018-05-25,-1.477282,-5.250299,0.7093770008546247
2018-05-26,-1.744479,6.332653,0.6281474068444376
2018-05-27,0.083402,-5.310836,0.598341250515394
2018-05-28,-3.192375,-8.569597,0.5738449222838302
2018-05-29,4.812845,11.155522,0.6323247012949103
2018-05-30,-0.846215,-4.513136,0.663394834543444
2018-05-31,1.188472,2.607653,0.6748902912647904
2018-06-01,0.543283,1.484366,0.6708413945691183
2018-06-02,1.416133,4.607379,0.7194131281154141
2018-06-03,1.155125,-1.647028,0.7115427288087344
2018-06-04,-2.694189,-5.627555,0.7293309852910363
2018-06-05,1.771252,-0.925934,0.7186210741769428
2018-06-06,0.367294,-1.826487,0.7900187158927522
2018-06-07,0.358398,-7.088946,0.7623031326223499
2018-06-08,-0.783593,-4.435855,0.7690679176556554
2018-06-09,-1.317259,0.772997,0.7678517521572938
2018-06-10,-9.514302,-18.553947,0.8115852932102771
2018-06-11,1.582958,8.610808,0.8093227019684435
2018-06-12,-4.683875,-13.693929,0.8146857186648885
